阿胶	［同］驴皮胶 
毫克	［同］厘克 分克 克 公斤 
毫厘	［同］毫发 丝毫 秋毫 分毫 
毫毛	［同］鸿毛 鹅毛 纤毫 一粟 
毫米	［同］厘米 微米 忽米 丝米 
毫无办法	［同］焦头烂额 内外交困 一筹莫展 束手无策 
毫无二致	［同］如出一辙 千篇一律 毫发不爽 一如既往 
毫无顾虑	［同］旁若无人 有恃无恐 明目张胆 肆无忌惮 
毫无例外	［同］概莫能外 概不 无例外 
毫子	［同］小洋 毛钱儿 角子 银角子 
好1	［同］便利 方便 便宜 利 ［反］坏 歹 差 次 赖 孬 
好2	［同］很 甚 颇 挺 
好3	［同］哼 吓 
好4	［同］易于 容易 易 善 
好榜样	［同］表率 模范 
好比	［同］比喻 譬喻 化作 比方 
好不	［同］充分 好生 
好吃懒做	［同］好逸恶劳 四体不勤 拈轻怕重 有气无力 
好处	［同］嘉惠 人情 ［反］坏处 
好大喜功	［同］沽名钓誉 虚荣 好名 好高骛远 
好歹	［同］无论 不管 
好多1	［同］好些 这麽些 多 许多 
好多2	［同］几多 几何 若干 多少 
好夫妻	［同］贤伉俪 恩爱夫妻 佳偶 嘉偶 
好感	［反］恶感 反感 
好高骛远	［同］好大喜功 沽名钓誉 虚荣 好名 ［反］脚踏实地 
好害	［同］好坏 是非 差错 漏洞 
好话1	［同］好言 嘉言 善言 昌言 ［反］坏话 
好话2	［同］婉言 婉辞 软语 好言 
好坏	［同］是非 差错 漏洞 好害 
好计	［同］上策 上上策 万全之策 
好景	［同］美景 
好久	［同］久久 长久 久长 悠久 ［反］不久 
好酒	［同］旨酒 醇酒 醇醪 美酒 
好看1	［同］悦目 美观 美丽 漂亮 ［反］难看 
好看2	［同］尴尬 为难 面有难色 难堪 
好客	［同］热情 热心 热忱 
好马	［反］劣马 驽马 
好名	［同］好高骛远 好大喜功 沽名钓誉 虚荣 
好婆	［同］姥姥 外祖母 外婆 
好人	［同］良民 吉人 令人 ［反］病人 
好日子	［同］婚期 吉期 佳期 良辰 
好色	［同］猥亵 淫荡 淫乱 荒淫 
好上加好	［同］刮垢磨光 更上一层楼 精益求精 
好声好气	［反］粗声大气 
好生	［同］好不 充分 
好事1	［同］美谈 ［反］坏事 
好事2	［同］善举 善事 善行 
好事3	［同］喜事 喜庆 吉庆 吉事 
好事不出门，恶事传千里	［同］一传十 十传百 不胫而走 
好事多磨	［同］事与愿违 横生枝节 节外生枝 半世坎坷 
好手	［同］上手 国手 高手 妙手 
好受	［反］难受 
好说歹说1	［同］说好说歹 谆谆告诫 多方开解 
好说歹说2	［同］左说右说 
好似	［同］似乎 如同 有如 好象 
好听	［同］动听 悦耳 入耳 顺耳 ［反］难听 
好象	［同］好似 似乎 如同 有如 
好消息	［同］佳音 福音 捷报 
好些	［同］这麽些 多 许多 好多 
好心	［同］善心 好意 善意 美意 ［反］坏心 歹心 黑心 
好学	［同］苦学 用功 用心 笃学 
好学不倦	［同］韦编三绝 勤学苦练 
好言1	［同］好话 婉言 婉辞 软语 
好言2	［同］嘉言 善言 昌言 好话 
好逸恶劳	［同］四体不勤 拈轻怕重 有气无力 好吃懒做 
好意	［同］善意 美意 好心 善心 ［反］恶意 歹意 
好意思	［同］没羞 不害羞 不害臊 脸皮厚 
好友	［同］挚友 执友 密友 契友 
好战	［同］穷兵黩武 ［反］厌战 
好转1	［同］改善 改进 起色 ［反］恶化 
好转2	［同］见轻 见好 有起色 稍愈 
耗	［同］花费 费 耗费 消耗 
耗费	［同］消耗 耗 花费 费 
号1	［同］别名 别号 别字 
号2	［同］号哭 哀号 大恸 恸 
号3	［同］呼啸 轰 轰鸣 吼 
号4	［同］喇叭 号筒 号角 角 
号5	［同］码 码子 数码 号码 
号6	［同］名 个 员 位 
号房	［同］传达 门子 门司 门房 
号角	［同］角 号 喇叭 号筒 
号叫	［同］高喊 高呼 大喊大叫 大叫 
号坎儿	［同］半臂 背心 马甲 坎肩 
号哭	［同］哀号 大恸 恸 号 
号令	［同］勒令 命令 命 令 
号码	［同］号 码 码子 数码 
号脉	［同］评脉 切脉 把脉 诊脉 
号筒	［同］号角 角 号 喇叭 
号召	［同］召唤 呼唤 唤起 
号子	［同］夯歌 
号啕大哭	［同］仰天呼号 痛哭流涕 放声大哭 声泪俱下 
浩大	［同］浩繁 
浩荡	［同］浩瀚 浩渺 弥漫 荒漠 
浩发	［同］鹤发 白发 
浩繁	［同］浩大 
浩浩	［同］泱泱 滔滔 汤汤 洋洋 
浩劫	［同］灭顶之灾 泼天大祸 洪水猛兽 天灾人祸 
浩渺	［同］弥漫 荒漠 浩荡 浩瀚 
浩如烟海	［同］不可胜数 不可悉数 不计齐数 无穷无尽 
浩瀚	［同］浩渺 弥漫 荒漠 浩荡 
呵斥	［同］申斥 呵责 
呵呵	［同］嘿嘿 吃吃 嘻嘻 哈哈 
呵护	［同］荫庇 保佑 庇佑 
呵首	［同］跪拜 叩拜 磕头 呵头 
呵头	［同］呵首 跪拜 叩拜 磕头 
呵责	［同］呵斥 申斥 
喝1	［同］嚎 嚷 喊 叫 
喝2	［同］喝酒 饮酒 
喝彩	［同］欢呼 
喝倒彩	［同］喊倒好儿 
喝酒	［同］饮酒 喝 
喝令	［同］勒令 强令 
喝西北风	［同］肚子里唱空城计 食不果腹 饥肠辘辘 嗷嗷等哺 
荷	［同］莲 芙蓉 荷花 
荷包	［同］衣袋 口袋 衣兜 兜 
荷花	［同］荷 莲 芙蓉 
荷兰水	［同］汽水 
荷枪实弹	［反］赤手空拳 手无寸铁 
荷叶	［同］何钱 
荷月	［同］伏月 季夏 六月 且月 
核果	［同］浆果 液果 
核计	［同］核算 
核能	［同］核子能 
核算	［同］核计 
核桃	［同］胡桃 山核桃 小胡桃 
核桃虫	［同］地蚕 地老虎 土蚕 
核武器	［反］常规武器 
核销	［同］销帐 
核心1	［同］中坚 中心 主导 主干 
核心2	［同］中心 重点 本位 重心 
核战争	［反］常规战争 
核帐	［同］查帐 盘帐 稽帐 
核准	［同］把关 审定 
核子能	［同］核能 
禾苗	［同］麦苗 壮苗 花苗 树苗 
和1	［同］帮腔 ［反］差 
和2	［同］兑 搀和 搀杂 搀 
和3	［同］跟 同 与 
和4	［同］和数 
和5	［同］同 与 跟 及 
和6	［同］言和 议和 和解 讲和 
和蔼可亲	［同］平易近人 轻声轻气 和颜悦色 ［反］金刚怒目 
和答	［同］酬唱 唱酬 酬和 唱和 
和风	［同］协风 惠风 凯风 熏风 
和风丽日	［同］春光明媚 风和日暖 风和日丽 
和风细雨	［同］温文尔雅 
和好如初	［同］九九归一 回心转意 破镜重圆 
和解	［同］讲和 和 言和 议和 ［反］纷争 
和局	［同］平手 均势 平局 
和睦	［同］谐和 融洽 亲善 友善 ［反］不和 不睦 
和暖	［同］温暖 温和 暖 暖和 
和盘托出	［同］直言不讳 仗义执言 直言切谏 昌言无忌 
和平	［反］剧烈 
和气	［同］温柔 温和 温存 温润 ［反］不和 不睦 
和善	［反］凶恶 邪恶 凶狠 狠毒 
和声	［同］伴音 立体声 
和事老	［同］说和人 调解人 调人 
和数	［同］和 ［反］差数 
和顺	［同］恭顺 忠顺 驯良 温顺 ［反］倔强 
和婉	［同］轻柔 柔和 平和 温和 
和稀泥	［同］打圆场 打圆盘 
和颜悦色	［同］和蔼可亲 平易近人 轻声轻气 ［反］正颜厉色 
和约	［同］合同 
和约商约	［同］租约 草约 成约 秘约 
和衷共济	［反］离心离德 同床异梦 貌合神离 
何	［同］何以 
何不	［同］胡不 怎不 咋不 
何尝	［同］未始 未尝 
何处	［同］哪儿 哪里 谁边 
何等	［同］何其 
何等人物	［同］何许人物 何如人 
何敢	［同］不敢 岂敢 
何况1	［同］况 加以 况且 而况 
何况2	［同］尚且 
何年何月	［同］多早晚 多咱 几时 何时 
何其	［同］何等 
何钱	［同］荷叶 
何人	［同］谁 孰 谁人 谁个 
何如人	［同］何等人物 何许人物 
何时	［同］何年何月 多早晚 多咱 几时 
何许人物	［同］何如人 何等人物 
何以1	［同］安能 什么 如何 若何 
何以2	［同］何 
何止	［同］岂止 何啻 奚啻 
何足挂齿	［同］鸟足道哉 
何啻	［同］奚啻 何止 岂止 
合1	［同］并 拼 拼合 合并 ［反］分 离 
合2	［同］关 关闭 掩闭 闭 
合3	［同］伙 并 一并 联合 
合4	［同］来回 回合 
合抱	［同］合围 
合并	［同］合 并 拼 拼合 ［反］分开 分离 
合并症	［同］并发症 
合不来	［同］说不来 话不投机半句多 
合唱	［反］独唱 
合称	［同］统称 
合成	［反］天然 
合成词	［反］单纯词 
合得来	［同］相投 投合 对脾气 对劲 
合法	［反］非法 不法 
合股	［同］集款 集资 
合乎	［反］不符 不合 
合伙	［反］散伙 拆伙 
合击	［同］夹攻 夹击 
合计	［同］共计 总计 一共 拢共 
合家欢	［同］全家福 
合家团聚	［同］完聚 聚会 聚首 骨肉团圆 
合口	［同］愈合 长好 收口 
合理	［同］有理 靠边 客观 成立 
合力	［反］分力 
合力	［同］通力合作 协力 并肩 团结 
合浦还珠	［同］合浦珠还 失而复得 
合浦珠还	［同］失而复得 合浦还珠 
合情合理	［同］理所当然 情理之中 入情入理 
合刃	［同］短兵相接 兵戎相见 接火 交火 
合扇	［同］合页 
合手	［同］可手 得心应手 称手 
合算	［同］划算 经济 划得来 划得着 
合同	［同］和约 
合同工	［同］临时工 
合围1	［同］包围 围困 
合围2	［同］合抱 
合眼1	［同］闭眼 
合眼2	［同］闭眼 老了 断气 咽气 
合页	［同］合扇 
合意	［同］满意 惬意 乐意 中意 
合纵	［反］连横 
合奏	［反］独奏 
合作	［反］单干 分工 
合作	［同］协作 搭档 搭伙 
阂槛	［反］门楣 
河	［同］川 水 江河 江 
河蚌	［同］蛤蜊 文蛤 蛤 蜊 
河川	［反］山脉 山岭 山峦 
河床	［同］河道 河漕 河身 
河道	［同］河漕 河身 河床 
河工1	［同］水利工程 水利 水工 
河工2	［同］养路工 矿工 
河沟	［同］沟 沟渠 水沟 
河汉	［同］银汉 银河 天河 星河 
河流	［反］山脉 山岭 山峦 
河柳	［同］旱柳 垂柳 垂杨柳 独摇 
河卵石	［同］鹅卵石 卵 石 
河面	［同］湖面 水面 海面 洋面 
河南坠子	［同］坠子 
河曲	［同］水曲 
河渠	［同］小河 河浜 浜 
河山带砺	［同］金城汤池 牢不可破 
河身	［同］河床 河道 河漕 
河套	［同］河网 
河网	［同］河套 ［反］山脉 山岭 山峦 
河系	［反］山系 
河蟹	［同］内黄 内黄候 蟹 螃蟹 
河鱼	［同］淡水鱼 
河汊	［同］岔流 汊流 引河 减河 
河浜	［同］浜 河渠 小河 
河漕	［同］河身 河床 河道 
赫赫有名	［同］举世闻名 遐迩闻名 闻名暇迩 鼎鼎大名 ［反］默默无闻 湮没无闻 无声无臭 不见经传 
褐猿	［同］猴子 猿猴 猩猩 猩 
鹤	［同］露禽 仙客 玄鸟 仙鹤 
鹤发	［同］白发 浩发 
鹤发鸡皮	［反］返老还童 童颜鹤发 
鹤发童颜	［同］松身鹤骨 老当益壮 松柏之姿 经冬犹茂 
鹤立鸡群	［反］滥竽充数 
鹤嘴镐	［同］钉字镐 镐 镐头 洋镐 
贺词	［同］颂词 口碑 祝词 
贺电	［同］通电 回电 专电 急电 ［反］唁电 
贺函	［同］贺信 
贺酒	［同］祝酒 
贺礼	［同］贺仪 
贺年	［同］拜年 恭贺新禧 
贺喜	［同］恭喜 恭贺 
贺信	［同］贺函 
贺仪	［同］贺礼 
嘿1	［同］哈 哈哈 
嘿2	［同］喂 
嘿3	［同］嗒嗬 哟 呀 呦 
嘿嘿	［同］吃吃 嘻嘻 哈哈 呵呵 
黑	［反］白 
黑暗1	［同］阴暗 ［反］光明 明亮 光亮 明朗 鲜明 
黑暗2	［同］幽暗 昏暗 幽黑 墨黑 
黑白分明	［同］毫发可鉴 一清二楚 
黑白片	［同］彩色片 立体片 感光片 色盲片 ［反］彩色片 
黑板	［同］石板 蜡板 
黑灯瞎火	［反］大天白日 
黑洞洞	［反］亮堂堂 白晃晃 
黑粉病	［反］白粉病 
黑钙土	［同］垆土 黑土 
黑光	［同］偏光 偏振光 
黑乎乎	［同］黑糊糊 黑忽忽 白蒙蒙 
黑忽忽	［同］白蒙蒙 黑乎乎 黑糊糊 
黑糊糊	［同］黑忽忽 白蒙蒙 黑乎乎 ［反］亮堂堂 白晃晃 
黑话	［同］隐语 暗语 侃儿语 切口 
黑货	［同］私货 
黑籍	［同］黑名单 
黑金	［同］生铁 铸金 铣铁 熟铁 
黑口	［反］白口 
黑良心	［同］恶心 恶意 祸心 黑心 
黑名单	［同］黑籍 
黑墨水	［同］隐显墨水 蓝墨水 红墨水 
黑漆漆	［反］亮堂堂 白晃晃 
黑钱	［同］整旧如新 修旧翻新 
黑色金属	［同］有色金属 
黑糖	［同］糖 食糖 红糖 黄糖 
黑土	［同］黑钙土 垆土 
黑瞎子	［同］马熊 棕熊 狗熊 黑熊 
黑心	［同］黑良心 恶心 恶意 祸心 ［反］好心 
黑信	［同］恐吓信 
黑猩猩	［同］大猩猩 
黑熊	［同］黑瞎子 马熊 棕熊 狗熊 
黑眼珠	［同］睛 眼黑 ［反］白眼珠 
黑洋纱	［同］斜纹布 斜纹 
黑夜	［同］白夜 
黑油油	［反］白晃晃 
黑枣	［同］软枣 枣子 枣 
黑子	［同］日斑 太阳黑子 
黑黝黝	［同］灰蒙蒙 ［反］亮堂堂 白晃晃 
痕	［同］迹 痕迹 印痕 印子 
痕迹	［同］印痕 印子 痕 迹 
痕迹量	［同］痕量 
痕量	［同］痕迹量 
很	［同］甚 颇 挺 好 
狠毒	［同］刻毒 心毒 歹毒毒辣 恶毒 ［反］善良 和善 
恨	［同］怨 怨恨 怨望 恼恨 ［反］爱 
恨事	［同］憾 憾事 
恨铁不成钢1	［同］望子成龙 
恨铁不成钢2	［同］殷切 殷殷 
恨之入骨	［同］痛心疾首 切齿痛恨 咬牙切齿 疾恶如仇 
哼1	［同］呻吟 
哼2	［同］吓 好 
哼小曲儿	［同］哼唧 低唱 
哼哧	［同］呼哧 吭哧 
哼唧1	［同］低唱 哼小曲儿 
哼唧2	［同］吟咏 吟哦 吟唱 吟诵 
横	［同］左右 反正 横竖 横直 ［反］竖 直 纵 
横暴	［同］蛮横 强横 霸道 跋扈 
横波	［反］纵波 
横财1	［同］不义之财 邪财 
横财2	［同］洋财 
横队	［反］纵队 
横额	［同］横幅 横披 
横幅	［同］横披 横额 
横谷	［反］纵谷 
横贯	［反］纵贯 
横海岸	［反］纵海岸 
横祸	［同］横事 
横加	［同］栽 施加 强加 
横眉怒目1	［同］瞪眼 怒目而视 ［反］慈眉善眼 
横眉怒目2	［同］杀气腾腾 穷凶恶极 金刚努目 
横眉竖眼1	［同］七窍生烟 愤然作色 拂袖而去 ［反］慈眉善眼 
横眉竖眼2	［同］龇牙裂嘴 青面獠牙 张牙舞爪 鹰视狼步 
横披	［同］横额 横幅 
横剖面	［反］纵剖面 
横七竖八	［同］横三竖四 参差 参差不齐 里出外进 
横三竖四	［同］参差 参差不齐 里出外进 横七竖八 
横扫	［同］荡涤 涤荡 扫荡 
横生枝节	［同］节外生枝 半世坎坷 好事多磨 事与愿违 
横事1	［同］横祸 
横事2	［同］凶事 
横是	［同］备不住 敢情 
横竖	［同］横直 横 左右 反正 
横死	［同］凶死 丧命 送命 毙命 
横纹肌	［反］平滑肌 
横行	［同］暴行 
横行霸道	［反］安分守已 奉公守法 
横行不法	［反］安分守已 奉公守法 
横行无忌	［反］安分守已 奉公守法 
横征暴敛	［同］课以重税 
横直	［同］横 左右 反正 横竖 
横座标	［反］纵座标 
横痃	［同］痃 
衡器	［同］磅秤 台秤 案秤 秤 
恒产	［同］不动产 
恒齿	［反］乳齿 奶牙 
恒定	［同］永恒 稳定 稳 固定 
恒久	［同］持久 有恒 锲而不舍 
恒量	［同］常量 
恒温	［同］常温 
恒心	［同］意志 心志 毅力 
恒星	［反］行星 
恒牙	［反］乳齿 奶牙 
恒言	［同］常言 
轰	［同］轰鸣 吼 号 呼啸 
轰轰烈烈1	［同］气壮山河 气吞山河 ［反］冷冷清清 
轰轰烈烈2	［同］如火如荼 大张旗鼓 
轰隆	［同］隆隆 咕隆 隐隐 虺虺 
轰鸣	［同］吼 号 呼啸 轰 
轰饮	［同］酣饮 畅饮 豪饮 狂饮 
轰炸	［同］投弹 空袭 
哄	［同］起哄 闹哄 吵闹 闹 
哄骗	［同］瞒骗 欺骗 蒙骗 诈骗 
哄抬物价	［同］抬价 
哄笑	［同］狂笑 大笑 
烘	［同］焙干 烘焙 烙 
烘焙	［同］烙 烘 焙干 
烘衬	［同］映衬 衬托 烘托 陪衬 
烘山芋	［同］烤白薯 
烘托	［同］陪衬 烘衬 映衬 衬托 
虹	［同］彩虹 天弓 地弓 副虹 
鸿1	［同］弘 高大 伟大 伟 
鸿2	［同］雁 大雁 
鸿毛	［同］鹅毛 纤毫 一粟 毫毛 
鸿名	［同］大名 美名 盛名 高名 
鸿篇巨制	［同］巨著 伟著 
鸿运高照	［同］洪福齐天 大运亨通 三生有幸 走红运 
鸿鹄	［同］天鹅 鹄 
洪波	［同］激浪 怒涛 波滔 波澜 
洪大	［反］细小 细微 细切 低微 
洪福齐天	［同］大运亨通 三生有幸 走红运 鸿运高照 
洪亮	［同］嘹亮 响 高 响亮 ［反］细小 细微 细切 低微 
洪流1	［同］暗流 主流 逆流 巨流 ［反］细流 
洪流2	［同］洪洚 暴洪 山洪 洪水 
洪流3	［同］巨流 
洪水	［同］洪流 洪洚 暴洪 山洪 
洪水猛兽	［同］天灾人祸 浩劫 灭顶之灾 泼天大祸 
洪洚	［同］暴洪 山洪 洪水 洪流 
宏	［反］微 
宏达	［同］博学 饱学 博识 博闻 
宏观	［反］微观 
宏观世界	［反］微观世界 
宏论	［同］伟论 崇论 闳议 
宏伟	［同］巍然 壮阔 雄壮 雄伟 
宏业	［同］大业 伟业 
宏愿	［同］向平之愿 遗愿 
弘	［同］高大 伟大 伟 鸿 
红	［反］白 黑 
红1	［同］赤 朱 丹 绯 
红2	［同］红利 花红 
红3	［同］热门 叫座 时兴 热 
红案	［反］白案 
红白事	［同］婚丧喜事 婚丧 
红榜	［同］光荣榜 
红茶	［同］祁红 小叶儿茶 清茶 芽茶 
红蛋	［同］喜蛋 
红豆	［同］相思豆 相思子 
红汞	［同］汞溴红 红药水 
红骨髓	［同］黄骨髓 髓 骨髓 
红果儿	［同］山里红 
红狐	［同］狐 狐狸 赤狐 火狐 
红军	［反］白军 白匪 
红利	［同］花红 红 
红脸	［同］抹不开 羞答答 难为情 不好意思 
红萝卜	［同］胡萝卜 
红毛坭	［同］水泥 洋灰 土敏土 水门汀 
红墨水	［同］黑墨水 隐显墨水 蓝墨水 
红男绿女	［同］男女 士女 儿女 
红盘	［同］明盘 
红砒	［同］信石 砒霜 白砒 
红票	［同］免票 赠券 招待券 
红朴朴	［同］红艳艳 红润 红彤彤 红通通 
红润	［同］红彤彤 红通通 红朴朴 红艳艳 
红色	［反］白色 
红丝	［同］青丝 
红糖	［反］白糖 
红糖	［同］黄糖 黑糖 糖 食糖 
红通通	［同］红朴朴 红艳艳 红润 红彤彤 
红铜	［同］康铜 黄铜 紫铜 
红彤彤	［同］红通通 红朴朴 红艳艳 红润 
红外光	［同］红外线 
红外线	［同］红外光 
红霞	［同］赤霞 朱霞 霞 丹霞 
红心	［同］忠心 赤子之心 赤心 
红血球	［反］白血球 
红颜	［同］美颜 姿色 花容 美貌 
红眼1	［同］变色 发作 眼红 
红眼2	［同］急性结膜炎 火眼 
红眼2	［同］眼馋 眼热 眼红 
红艳艳	［同］红润 红彤彤 红通通 红朴朴 
红样	［同］校样 大样 小样 毛样 
红药水	［同］红汞 汞溴红 
红叶	［同］枫叶 
红运	［同］幸运 天幸 吉人天相 
红妆	［同］艳妆 靓妆 浓妆 浓妆艳抹 
喉	［同］喉头 咽喉 喉咙 嗓子 
喉咙	［同］嗓子 喉 喉头 咽喉 
喉头	［同］咽喉 喉咙 嗓子 喉 
猴皮筋儿	［同］橡皮筋儿 
猴子	［同］猿猴 猩猩 猩 褐猿 
吼1	［同］号 呼啸 轰 轰鸣 
吼2	［同］咆哮 怒吼 
吼3	［同］啸 吟 唳 吼叫 
吼叫	［同］吼 啸 吟 唳 
厚1	［同］厚实 丰厚 厚墩墩 ［反］薄 
厚2	［同］浓厚 浓重 浓 
厚薄	［同］薄 厚度 
厚此薄彼	［反］一视同仁 
厚待	［同］恩礼 恩遇 宽待 优待 ［反］虐待 冷淡 怠慢 
厚道	［同］忠厚 敦厚 温厚 仁厚 ［反］刻薄 尖刻 苛刻 
厚度	［同］厚薄 薄 
厚墩墩	［同］厚 厚实 丰厚 
厚古薄今	［反］厚今薄古 
厚今薄古	［反］厚古薄今 
厚礼	［同］厚赠 重礼 见面礼 
厚利	［同］重利 暴利 余利 毛利 
厚禄	［同］厚俸 万钟 万钟之禄 
厚实	［同］丰厚 厚墩墩 厚 
厚望	［同］奢望 
厚研	［同］重研 
厚颜无耻	［同］丢人现眼 无耻之尤 恬不知耻 
厚意	［同］雅意 盛意 盛情 深情 
厚赠	［同］重礼 见面礼 厚礼 
厚俸	［同］万钟 万钟之禄 厚禄 
候补	［同］递补 
候风地动仪	［同］地动仪 
候服玉食	［同］钟鸣鼎食 乘坚策肥 裘马轻肥 轻裘肥马 
候机	［同］待机 俟机 
候教	［同］聆教 
候鸟	［同］益鸟 害鸟 保护鸟 ［反］留鸟 
后1	［同］后代 后人 后嗣 后生 ［反］前 
后2	［同］后方 大后方 总后方 
后3	［同］后面 后头 后边 后头 
后4	［同］坤仪 坤维 坤载 
后5	［同］往后 尔后 以后 之后 
后半辈子	［同］下半辈子 后半生 
后半晌	［反］前晌 前半晌 
后半生	［同］后半辈子 下半辈子 
后半天	［同］下午 午后 下半晌 下半天 ［反］前半天 上半天 
后半夜	［同］下半夜 ［反］前半夜 上半夜 
后辈	［同］晚辈 晚生 小辈 下辈 ［反］前辈 
后背面	［同］后脸儿 反面 背面 后备 
后备	［同］后背面 后脸儿 反面 背面 
后边	［同］后头 后 后面 后头 
后步	［同］退步 
后代1	［同］后来人接班人 继起者 继承人 后人 ［反］祖宗 祖先 先世 先祖 
后代2	［同］后人 后嗣 后生 后 
后爹	［同］后爷 晚父 继父 异父 
后盾	［同］腰杆子 支柱 靠山 后台 
后儿	［同］后儿个 后天 后日 
后儿个	［同］后天 后日 后儿 
后发制人	［同］应战 应敌 迎战 迎头痛击 ［反］先发制人 
后方	［同］大后方 总后方 后 ［反］前方 前线 
后夫	［同］接脚夫 接脚婿 
后顾之忧	［同］内顾之忧 
后果	［同］结局 究竟 结果 ［反］前因 
后患	［同］遗祸 遗患 
后患无穷	［同］留后患 遗患 养虎遗患 放虎归山 
后悔	［同］失悔 懊悔 嗟悔 追悔 
后悔莫及	［同］悔之晚矣 嗟差无及 徒唤奈何 一失足成千古恨 
后悔无及	［同］来不及 赶不及 赶不上 躲避不及 
后婚儿	［同］二婚头 二婚儿 
后记	［同］跋 跋文 
后继乏人	［反］后继有人 
后继无人	［反］后继有人 
后继有人	［反］后继无人 后继乏人 
后脚	［反］前脚 
后襟	［同］后身 ［反］前襟 
后进	［同］落伍 落后 ［反］进步 先进 
后劲	［同］猛劲儿 牛劲 死力 死劲儿 
后景	［反］前景 
后来	［同］后头 嗣后 随后 过后 ［反］起头 起先 起初 
后来居上	［同］青出于蓝而胜于蓝 道高一尺 魔高一丈 
后来人	［同］初生之犊 后起之秀 
后来人	［反］先驱者 先驱 前驱 先行者 
后来人接班人	［同］继起者 继承人 后人 后代 
后浪推前浪	［同］波助澜 推涛作浪 
后脸儿	［同］反面 背面 后备 后背面 
后路1	［同］出路 回头路 归途 去路 
后路2	［同］后手 余地 退路 
后妈	［同］后娘 继母 后母 
后门	［同］方便之门 ［反］正门 
后面	［同］后头 后边 后头 后 ［反］前面 
后母	［同］后妈 后娘 继母 
后脑	［同］后脑海 脑上体 松果腺 松果体 
后脑海	［同］脑上体 松果腺 松果体 后脑 
后脑勺儿	［同］脑勺子 后脑勺子 
后脑勺子	［同］后脑勺儿 脑勺子 
后年	［同］大后年 
后娘	［同］继母 后母 后妈 
后怕	［同］谈虎色变 心有余悸 一朝被蛇咬 十年怕井绳 继室 续弦 
后期	［反］前期 初期 
后妻	［同］填房 继配 继室 续弦 
后起之秀1	［同］后来人 初生之犊 
后起之秀2	［同］新秀 
后人1	［同］后代 后来人接班人 继起者 继承人 ［反］前人 
后人2	［同］后嗣 后生 后 后代 
后任	［反］前任 
后日	［同］后儿 后儿个 后天 
后晌	［反］前晌 前半晌 
后身1	［同］后襟 ［反］前身 
后身2	［同］前身 
后生1	［同］后 后代 后人 后嗣 
后生2	［同］小伙子 青少年 
后生可畏	［同］大器晚成 孺子可教 
后事	［同］丧事 白事 
后手	［同］余地 退路 后路 ［反］先手 
后嗣	［同］后生 后 后代 后人 
后台	［同］后盾 腰杆子 支柱 靠山 
后天	［同］后日 后儿 后儿个 ［反］先天 
后头1	［同］后 后面 后头 后边 ［反］先头 
后头2	［同］后边 后头 后 后面 
后头3	［同］嗣后 随后 过后 后来 
后退	［同］退 退回 退走 退却 ［反］前进 
后卫	［反］前卫 
后厦	［反］前廊 
后项	［反］前项 
后行	［反］先行 
后言	［同］非议 
后爷	［同］晚父 继父 异父 后爹 
后裔	［反］祖宗 祖先 先世 先祖 
后影	［同］树阴 人影儿 身影 背影 
后院起火	［同］前徒倒戈 
后肢	［反］前肢 
后缀	［反］前缀 
后坐力	［同］反冲力 坐力 
呼	［同］招呼 呼唤 ［反］应 
呼喊	［同］呼嚎 呐喊 喊叫 叫喊 
呼嚎	［同］呐喊 喊叫 叫喊 呼喊 
呼号	［同］代号 庙号 字号 
呼唤1	［同］呼 招呼 ［反］答应 
呼唤2	［同］唤起 号召 召唤 
呼扇1	［同］打扇 鼓 扇 扇风 
呼扇2	［同］颠簸 颠 颤动 抖动 
呼声	［同］主意 主见 主心骨 意见 
呼天抢地	［同］哭天哭地 哭天抹泪 如丧考妣 啼饥号寒 
呼吸	［同］透气 
呼吸相通	［同］血脉相通 成败所系 休戚相关 息息相关 
呼啸	［同］轰 轰鸣 吼 号 
呼应	［同］照应 应和 前呼后应 
呼哧	［同］吭哧 哼哧 
呼噜	［同］呼噜噜 咕嘟 咕噜 咕噜噜 
呼噜噜	［同］咕嘟 咕噜 咕噜噜 呼噜 
乎	［同］啊 吗 呢 吧 
忽布	［同］蒲 兰荪 酒花 蛇花 
忽地	［同］猛地 蓦地 霍地 
忽略	［同］疏失 疏忽 大意 忽视 
忽米	［同］丝米 毫米 厘米 微米 
忽然	［同］突兀 猛然 骤然 突然 ［反］逐渐 渐渐 逐步 
忽闪1	［同］闪动 眨眼 眨巴 扑闪 
忽闪2	［同］闪光 闪亮 闪烁 闪耀 
忽视	［同］忽略 疏失 疏忽 大意 
胡不	［同］怎不 咋不 何不 
胡扯	［同］瞎说 乱说 乱道 胡说 
胡话	［同］谵语 妄语 妄说 瞎话 
胡搅1	［同］狡辩 强辩 诡辩 
胡搅2	［同］乱来 乱搅 胡闹 胡来 
胡来	［同］胡搅 乱来 乱搅 胡闹 
胡萝卜	［同］红萝卜 
胡闹	［同］胡来 胡搅 乱来 乱搅 
胡琴	［同］京胡 二胡 四胡 板胡 
胡说	［同］胡扯 瞎说 乱说 乱道 
胡说八道	［同］妄言妄语 胡言乱语 
胡思乱想	［同］空想 玄想 幻想 白日作梦 
胡桃	［同］山核桃 小胡桃 核桃 
胡通口	［同］弄堂口 
胡言乱语	［同］胡说八道 妄言妄语 
胡作非为	［同］胆大妄为 肆行无忌 恣意妄为 ［反］安分守已 奉公守法 
蝴蝶结	［同］领结 
